 ******************************************************************************
 * SHELL MODEL - DEFORMED WOODS-SAXON POTENTIAL:  NUCLEUS Z= 92 N=144 A=236   *
 * CENTRAL POTENTIAL-DEPTH VO = -45.9 DIFUSSENESS A=  0.630 RADIUS RO=   7.66 *
 * SPIN-ORBIT POTEN.-DEPTH VSO = 17.5 DIFUSSENESS A=  0.630 RADIUS RV=   7.66 *
 ******************************************************************************
 Eldm- Pashkevich 

 EPS= 0.000 a1= 0.000 a3=-0.200 a4=-0.160 a5= 0.000 a6= 0.000 Gn*A=22.5 Gz*A=26.5
 VAR:    T         F         T         F         F         F
 P(1)  P(2)   Barrier  Sh.Cor   Eldm   dU(N)   dU(P)   dP(N)   dP(P)   BC   BS
 0.050 -.110  16.1689  3.1882 12.981   2.113   1.606  -0.423  -0.108 0.993  1.032
 0.050 -.100  15.9226  3.3529 12.570   2.049   1.851  -0.314  -0.232 0.993  1.031
 0.050 -.090  15.7203  3.5222 12.198   2.013   2.096  -0.229  -0.358 0.994  1.030
 0.050 -.080  15.5574  3.6939 11.864   2.003   2.337  -0.164  -0.482 0.994  1.029
 0.050 -.070  15.4314  3.8642 11.567   2.012   2.570  -0.116  -0.602 0.994  1.028
 0.050 -.060  15.3371  4.0287 11.308   2.036   2.790  -0.082  -0.715 0.994  1.027
 0.050 -.050  15.2719  4.1820 11.090   2.069   2.991  -0.059  -0.818 0.995  1.027
 0.050 -.040  15.2280  4.3174 10.911   2.106   3.131  -0.045  -0.874 0.995  1.026
 0.050 -.030  15.2010  4.4300 10.771   2.140   3.201  -0.037  -0.874 0.995  1.026
 0.050 -.020  15.1857  4.5146 10.671   2.168   3.246  -0.032  -0.868 0.995  1.025
 0.050 -.010  15.1781  4.5670 10.611   2.187   3.275  -0.030  -0.864 0.995  1.025
 0.050 0.000  15.1757  4.5845 10.591   2.193   3.284  -0.029  -0.863 0.995  1.025
 0.050 0.010  15.1780  4.5670 10.611   2.187   3.275  -0.030  -0.864 0.995  1.025
 0.050 0.020  15.1856  4.5146 10.671   2.168   3.246  -0.032  -0.868 0.995  1.025
 0.050 0.030  15.2009  4.4300 10.771   2.140   3.201  -0.037  -0.874 0.995  1.026
 0.050 0.040  15.2279  4.3174 10.911   2.106   3.131  -0.045  -0.874 0.995  1.026
 0.050 0.050  15.2718  4.1820 11.090   2.069   2.991  -0.059  -0.818 0.995  1.027
 0.050 0.060  15.3370  4.0287 11.308   2.036   2.790  -0.082  -0.715 0.994  1.027
 0.050 0.070  15.4314  3.8642 11.567   2.012   2.570  -0.116  -0.602 0.994  1.028
 0.050 0.080  15.5574  3.6939 11.864   2.003   2.337  -0.164  -0.482 0.994  1.029
 0.050 0.090  15.7203  3.5222 12.198   2.013   2.096  -0.229  -0.358 0.994  1.030
 0.050 0.100  15.9225  3.3529 12.570   2.049   1.851  -0.314  -0.232 0.993  1.031
 0.050 0.110  16.1678  3.1882 12.980   2.113   1.606  -0.423  -0.108 0.993  1.032
 0.050 0.120  16.4554  3.0289 13.427   2.210   1.364  -0.557   0.013 0.993  1.034
 0.050 0.130  16.7861  2.8756 13.911   2.175   1.128  -0.556   0.128 0.992  1.035
 0.050 0.140  17.1573  2.7279 14.429   2.163   0.898  -0.571   0.238 0.992  1.037
 0.050 0.150  17.5688  2.5855 14.983   2.185   0.675  -0.616   0.341 0.991  1.039
 0.050 0.160  18.0188  2.4473 15.571   2.238   0.460  -0.688   0.438 0.991  1.040
 0.050 0.170  18.5059  2.3132 16.193   2.204   0.254  -0.672   0.527 0.990  1.042
 0.050 0.180  19.0297  2.1824 16.847   2.180   0.059  -0.666   0.609 0.990  1.044
 0.050 0.190  19.5899  2.0557 17.534   2.183  -0.122  -0.686   0.681 0.989  1.046
 0.050 0.200  20.1863  1.9340 18.252   2.210  -0.288  -0.731   0.743 0.988  1.049
 0.060 -.200  19.8995  1.7187 18.181   1.786  -0.365  -0.435   0.732 0.988  1.049
 0.060 -.190  19.3262  1.8575 17.469   2.011  -0.189  -0.629   0.664 0.989  1.047
 0.060 -.180  18.7941  2.0064 16.788   2.196   0.006  -0.780   0.585 0.989  1.044
 0.060 -.170  18.3034  2.1656 16.138   2.217   0.216  -0.765   0.498 0.990  1.042
 0.060 -.160  17.8556  2.3337 15.522   2.268   0.441  -0.778   0.403 0.991  1.041
 0.060 -.150  17.4492  2.5107 14.938   2.351   0.676  -0.818   0.302 0.991  1.039
 0.060 -.140  17.0854  2.6963 14.389   2.343   0.919  -0.762   0.196 0.992  1.037
 0.060 -.130  16.7633  2.8888 13.875   2.358   1.168  -0.724   0.087 0.992  1.035
 0.060 -.120  16.4834  3.0889 13.395   2.406   1.424  -0.714  -0.027 0.992  1.034
 0.060 -.110  16.2471  3.2948 12.952   2.480   1.684  -0.727  -0.143 0.993  1.033
 0.060 -.100  16.0510  3.5053 12.546   2.421   1.945  -0.600  -0.261 0.993  1.031
 0.060 -.090  15.8934  3.7184 12.175   2.390   2.205  -0.498  -0.379 0.994  1.030
 0.060 -.080  15.7753  3.9311 11.844   2.384   2.460  -0.418  -0.494 0.994  1.029
